Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
618-92-6590,C,Naypyitaw,Member,Male,Home and lifestyle,57.95,6,17.385,365.085,01/09/2019,10:54,Cash,347.7,17.385,8.9
545-32-9548,A,Yangon,Normal,Female,Fashion accessories,90.24,8,36.096,758.016,01/20/2019,20:17,Credit card,721.92,36.096,8.8
430-41-2419,C,Naypyitaw,Normal,Female,Sports and travel,84.32,10,42.16,885.36,02/04/2019,14:56,Cash,843.2,42.16,5.5
599-37-6813,B,Mandalay,Normal,Female,Health and beauty,54.49,6,16.347,343.287,01/24/2019,14:21,Cash,326.94,16.347,9.3
837-62-9004,C,Naypyitaw,Normal,Male,Food and beverages,95.33,2,9.533,200.193,01/31/2019,18:48,Ewallet,190.66,9.533,8.1
808-41-6016,C,Naypyitaw,Normal,Female,Health and beauty,18.37,4,3.674,77.154,02/21/2019,20:37,Cash,73.48,3.674,6.8
564-44-6023,C,Naypyitaw,Normal,Female,Fashion accessories,59.53,6,17.859,375.039,03/31/2019,14:14,Ewallet,357.18,17.859,8.3
841-85-9595,B,Mandalay,Member,Male,Electronic accessories,29.47,8,11.788,247.548,02/05/2019,19:18,Ewallet,235.76,11.788,9.0
380-15-1893,B,Mandalay,Member,Female,Electronic accessories,37.2,9,16.74,351.54,01/17/2019,18:18,Credit card,334.8,16.74,9.7
551-53-4020,C,Naypyitaw,Normal,Male,Health and beauty,61.67,8,24.668,518.028,03/03/2019,10:16,Cash,493.36,24.668,4.7
252-82-5978,A,Yangon,Normal,Female,Health and beauty,61.93,1,3.0965,65.0265,01/20/2019,11:15,Ewallet,61.93,3.0965,7.3
539-49-1986,B,Mandalay,Member,Female,Sports and travel,91.77,5,22.9425,481.7925,03/17/2019,19:47,Ewallet,458.85,22.9425,9.7
665-19-3564,A,Yangon,Member,Female,Fashion accessories,17.31,4,3.462,72.702,01/23/2019,10:26,Cash,69.24,3.462,8.1
980-68-2166,B,Mandalay,Normal,Male,Electronic accessories,35.93,5,8.9825,188.6325,03/31/2019,20:14,Cash,179.65,8.9825,8.7
946-28-2169,C,Naypyitaw,Member,Female,Health and beauty,59.01,3,8.8515,185.8815,02/04/2019,10:10,Cash,177.03,8.8515,7.6
512-44-9199,C,Naypyitaw,Normal,Female,Health and beauty,52.18,5,13.045,273.945,03/31/2019,18:31,Cash,260.9,13.045,4.5
790-83-1339,A,Yangon,Normal,Female,Food and beverages,32.53,2,3.253,68.313,01/30/2019,20:52,Cash,65.06,3.253,7.5
750-72-2494,A,Yangon,Normal,Female,Home and lifestyle,26.33,10,13.165,276.465,02/25/2019,17:22,Cash,263.3,13.165,6.0
778-61-1601,C,Naypyitaw,Member,Male,Home and lifestyle,47.05,8,18.82,395.22,02/06/2019,17:05,Cash,376.4,18.82,5.5
155-34-9494,A,Yangon,Normal,Male,Fashion accessories,88.24,8,35.296,741.216,02/22/2019,15:39,Cash,705.92,35.296,7.8
815-72-2989,A,Yangon,Member,Female,Food and beverages,21.79,5,5.4475,114.3975,02/26/2019,10:40,Credit card,108.95,5.4475,8.8
330-24-8560,C,Naypyitaw,Member,Female,Food and beverages,11.23,7,3.9305,82.5405,01/12/2019,11:41,Ewallet,78.61,3.9305,7.0
567-80-3369,C,Naypyitaw,Normal,Female,Sports and travel,85.13,8,34.052,715.092,02/01/2019,16:12,Credit card,681.04,34.052,7.0
940-10-5634,A,Yangon,Member,Female,Sports and travel,40.59,9,18.2655,383.5755,02/04/2019,14:53,Credit card,365.31,18.2655,7.5
665-79-7180,C,Naypyitaw,Normal,Male,Sports and travel,58.47,6,17.541,368.361,02/12/2019,17:59,Cash,350.82,17.541,9.2
425-70-7246,C,Naypyitaw,Member,Female,Electronic accessories,87.04,7,30.464,639.744,01/06/2019,16:42,Credit card,609.28,30.464,9.9
995-66-2633,B,Mandalay,Member,Male,Food and beverages,96.88,6,29.064,610.344,01/13/2019,18:58,Cash,581.28,29.064,4.1
738-98-7512,A,Yangon,Normal,Male,Health and beauty,52.25,5,13.0625,274.3125,02/13/2019,20:05,Cash,261.25,13.0625,9.1
136-89-2121,C,Naypyitaw,Normal,Female,Fashion accessories,74.68,8,29.872,627.312,03/11/2019,13:40,Credit card,597.44,29.872,9.5
270-98-5906,A,Yangon,Member,Female,Health and beauty,78.43,2,7.843,164.703,02/26/2019,10:02,Cash,156.86,7.843,8.8
679-97-3950,B,Mandalay,Normal,Female,Sports and travel,23.1,9,10.395,218.295,02/22/2019,12:11,Ewallet,207.9,10.395,7.7
360-68-5183,B,Mandalay,Member,Female,Food and beverages,22.88,8,9.152,192.192,03/23/2019,20:00,Cash,183.04,9.152,9.4
754-64-5097,C,Naypyitaw,Member,Male,Sports and travel,95.07,10,47.535,998.235,02/08/2019,17:54,Cash,950.7,47.535,5.2
402-99-5837,B,Mandalay,Normal,Male,Electronic accessories,44.32,6,13.296,279.216,03/15/2019,10:53,Credit card,265.92,13.296,6.4
921-55-4588,A,Yangon,Member,Female,Home and lifestyle,79.82,4,15.964,335.244,03/19/2019,20:12,Credit card,319.28,15.964,5.5
134-84-6977,C,Naypyitaw,Member,Male,Fashion accessories,68.17,5,17.0425,357.8925,02/26/2019,12:05,Cash,340.85,17.0425,6.0
613-44-3695,B,Mandalay,Member,Male,Electronic accessories,80.79,6,24.237,508.977,03/09/2019,14:58,Cash,484.74,24.237,9.8
980-96-7511,B,Mandalay,Normal,Male,Sports and travel,96.66,3,14.499,304.479,01/29/2019,18:23,Ewallet,289.98,14.499,8.7
490-91-7086,A,Yangon,Normal,Male,Sports and travel,43.17,5,10.7925,226.6425,03/16/2019,11:43,Ewallet,215.85,10.7925,6.8
409-93-7689,C,Naypyitaw,Normal,Male,Fashion accessories,15.69,8,6.276,131.796,03/31/2019,11:08,Ewallet,125.52,6.276,9.7
497-68-7078,B,Mandalay,Normal,Male,Health and beauty,31.13,9,14.0085,294.1785,01/18/2019,20:47,Credit card,280.17,14.0085,9.7
517-45-1536,B,Mandalay,Member,Female,Fashion accessories,18.91,8,7.564,158.844,03/20/2019,15:13,Cash,151.28,7.564,6.7
507-45-4109,A,Yangon,Normal,Male,Fashion accessories,43.06,6,12.918,271.278,01/08/2019,11:54,Cash,258.36,12.918,4.6
310-18-4394,A,Yangon,Member,Male,Home and lifestyle,31.92,3,4.788,100.548,03/14/2019,19:13,Ewallet,95.76,4.788,6.0
917-32-2801,A,Yangon,Member,Female,Electronic accessories,98.88,9,44.496,934.416,02/02/2019,20:55,Ewallet,889.92,44.496,4.8
859-63-9619,B,Mandalay,Member,Female,Health and beauty,25.68,1,1.284,26.964,01/17/2019,11:47,Ewallet,25.68,1.284,6.9
844-94-9543,B,Mandalay,Member,Female,Food and beverages,29.94,10,14.97,314.37,01/06/2019,14:29,Credit card,299.4,14.97,9.8
175-20-6277,A,Yangon,Normal,Female,Sports and travel,71.75,8,28.7,602.7,02/26/2019,19:09,Ewallet,574.0,28.7,4.8
719-65-2624,C,Naypyitaw,Normal,Female,Food and beverages,57.75,8,23.1,485.1,03/06/2019,11:54,Credit card,462.0,23.1,7.9
947-68-7532,C,Naypyitaw,Member,Female,Sports and travel,89.93,7,31.4755,660.9855,02/13/2019,16:46,Ewallet,629.51,31.4755,5.9
193-20-2527,B,Mandalay,Normal,Female,Electronic accessories,71.81,8,28.724,603.204,01/09/2019,16:06,Credit card,574.48,28.724,8.4
868-64-1842,A,Yangon,Member,Female,Fashion accessories,21.0,6,6.3,132.3,03/27/2019,14:38,Cash,126.0,6.3,6.1
965-81-7022,C,Naypyitaw,Member,Male,Fashion accessories,53.4,2,5.34,112.14,02/14/2019,11:48,Cash,106.8,5.34,7.4
459-10-3972,B,Mandalay,Member,Female,Health and beauty,26.24,5,6.56,137.76,02/13/2019,12:36,Credit card,131.2,6.56,6.4
564-53-3578,A,Yangon,Member,Male,Fashion accessories,57.74,7,20.209,424.389,02/23/2019,15:19,Credit card,404.18,20.209,5.9
790-20-5458,C,Naypyitaw,Member,Male,Electronic accessories,24.17,10,12.085,253.785,01/07/2019,17:42,Cash,241.7,12.085,6.9
540-24-5640,B,Mandalay,Normal,Female,Electronic accessories,77.94,2,7.794,163.674,02/14/2019,20:43,Credit card,155.88,7.794,6.9
107-36-5938,C,Naypyitaw,Normal,Male,Electronic accessories,45.57,10,22.785,478.485,01/08/2019,13:49,Ewallet,455.7,22.785,8.6
232-58-9725,B,Mandalay,Normal,Male,Health and beauty,54.76,7,19.166,402.486,01/23/2019,13:32,Credit card,383.32,19.166,9.0
179-50-8033,B,Mandalay,Member,Female,Fashion accessories,13.81,1,0.6905,14.5005,02/28/2019,19:25,Credit card,13.81,0.6905,7.8
571-98-6928,B,Mandalay,Member,Female,Health and beauty,96.96,3,14.544,305.424,03/21/2019,11:27,Ewallet,290.88,14.544,5.5
441-31-2251,C,Naypyitaw,Normal,Male,Sports and travel,88.35,6,26.505,556.605,01/29/2019,18:40,Ewallet,530.1,26.505,7.2
205-28-5193,A,Yangon,Normal,Female,Fashion accessories,96.24,3,14.436,303.156,01/31/2019,13:11,Credit card,288.72,14.436,4.9
559-97-6295,C,Naypyitaw,Member,Male,Fashion accessories,54.47,10,27.235,571.935,03/16/2019,20:20,Ewallet,544.7,27.235,6.6
175-49-8565,B,Mandalay,Normal,Female,Home and lifestyle,63.23,6,18.969,398.349,03/06/2019,17:02,Ewallet,379.38,18.969,6.2
694-80-1672,B,Mandalay,Member,Male,Food and beverages,63.47,7,22.2145,466.5045,03/01/2019,17:58,Credit card,444.29,22.2145,7.9
616-92-3827,B,Mandalay,Normal,Male,Health and beauty,50.55,6,15.165,318.465,01/11/2019,10:15,Credit card,303.3,15.165,6.6
893-53-1857,B,Mandalay,Member,Female,Home and lifestyle,92.61,7,32.4135,680.6835,02/22/2019,20:41,Cash,648.27,32.4135,4.4
441-20-3317,A,Yangon,Normal,Female,Home and lifestyle,75.14,10,37.57,788.97,01/20/2019,15:19,Credit card,751.4,37.57,8.2
786-99-9624,B,Mandalay,Member,Male,Home and lifestyle,60.3,6,18.09,379.89,01/17/2019,11:41,Credit card,361.8,18.09,6.5
884-72-4145,B,Mandalay,Member,Female,Home and lifestyle,26.22,4,5.244,110.124,02/13/2019,13:08,Ewallet,104.88,5.244,4.5
266-33-3712,A,Yangon,Member,Female,Food and beverages,21.79,7,7.6265,160.1565,01/20/2019,17:02,Cash,152.53,7.6265,6.2
646-40-6070,C,Naypyitaw,Member,Female,Food and beverages,35.64,8,14.256,299.376,01/30/2019,17:57,Ewallet,285.12,14.256,6.2
528-30-4271,C,Naypyitaw,Normal,Female,Home and lifestyle,80.03,9,36.0135,756.2835,03/09/2019,19:08,Cash,720.27,36.0135,4.3
185-30-5469,B,Mandalay,Normal,Male,Fashion accessories,86.13,2,8.613,180.873,02/06/2019,17:57,Credit card,172.26,8.613,4.9
154-60-9224,B,Mandalay,Member,Male,Sports and travel,89.62,1,4.481,94.101,02/23/2019,15:15,Cash,89.62,4.481,10.0
240-14-5700,B,Mandalay,Member,Male,Home and lifestyle,93.77,6,28.131,590.751,01/19/2019,17:44,Ewallet,562.62,28.131,8.6
661-87-9647,B,Mandalay,Normal,Male,Health and beauty,11.71,4,2.342,49.182,01/20/2019,16:07,Cash,46.84,2.342,5.4
164-24-9189,A,Yangon,Member,Male,Sports and travel,67.51,10,33.755,708.855,02/28/2019,19:34,Ewallet,675.1,33.755,7.8
346-83-7825,C,Naypyitaw,Member,Male,Home and lifestyle,48.63,10,24.315,510.615,02/15/2019,12:42,Credit card,486.3,24.315,4.5
496-57-5155,B,Mandalay,Member,Male,Sports and travel,88.6,1,4.43,93.03,03/23/2019,10:22,Ewallet,88.6,4.43,6.1
933-92-3868,C,Naypyitaw,Member,Female,Electronic accessories,13.99,9,6.2955,132.2055,02/13/2019,20:29,Credit card,125.91,6.2955,6.9
400-35-1717,A,Yangon,Member,Male,Fashion accessories,79.86,8,31.944,670.824,01/05/2019,13:56,Ewallet,638.88,31.944,5.9
465-16-6438,B,Mandalay,Normal,Female,Home and lifestyle,13.3,4,2.66,55.86,02/06/2019,14:07,Cash,53.2,2.66,6.6
609-57-9507,B,Mandalay,Normal,Female,Home and lifestyle,97.64,8,39.056,820.176,03/30/2019,14:51,Ewallet,781.12,39.056,8.4
435-94-5843,A,Yangon,Normal,Male,Food and beverages,36.44,2,3.644,76.524,01/11/2019,14:28,Credit card,72.88,3.644,8.3
545-45-1939,A,Yangon,Normal,Female,Sports and travel,13.81,6,4.143,87.003,03/20/2019,11:42,Credit card,82.86,4.143,6.4
229-18-4866,C,Naypyitaw,Member,Male,Electronic accessories,86.38,8,34.552,725.592,01/05/2019,20:23,Cash,691.04,34.552,6.3
554-19-3255,C,Naypyitaw,Member,Male,Fashion accessories,50.49,6,15.147,318.087,02/17/2019,18:23,Cash,302.94,15.147,5.9
496-81-2929,B,Mandalay,Member,Male,Health and beauty,76.21,8,30.484,640.164,03/08/2019,14:49,Cash,609.68,30.484,8.2
276-66-2438,A,Yangon,Normal,Female,Electronic accessories,21.04,2,2.104,44.184,02/27/2019,20:54,Cash,42.08,2.104,8.0
620-38-2988,C,Naypyitaw,Member,Female,Home and lifestyle,86.62,3,12.993,272.853,02/16/2019,13:50,Ewallet,259.86,12.993,5.4
232-88-2412,B,Mandalay,Member,Female,Food and beverages,61.5,8,24.6,516.6,03/12/2019,11:19,Cash,492.0,24.6,10.0
424-92-2215,C,Naypyitaw,Normal,Female,Sports and travel,84.1,2,8.41,176.61,01/17/2019,17:29,Credit card,168.2,8.41,7.1
630-29-5982,A,Yangon,Member,Male,Sports and travel,55.26,1,2.763,58.023,01/16/2019,12:10,Cash,55.26,2.763,9.6
228-90-5961,A,Yangon,Normal,Female,Health and beauty,32.55,9,14.6475,307.5975,02/05/2019,19:34,Ewallet,292.95,14.6475,7.0
962-82-1674,A,Yangon,Member,Male,Fashion accessories,66.2,10,33.1,695.1,02/13/2019,10:05,Ewallet,662.0,33.1,9.7
742-79-5745,C,Naypyitaw,Normal,Male,Food and beverages,47.49,1,2.3745,49.8645,03/05/2019,20:19,Cash,47.49,2.3745,5.5
550-63-8933,C,Naypyitaw,Normal,Female,Sports and travel,16.57,1,0.8285,17.3985,01/21/2019,17:13,Cash,16.57,0.8285,7.6
675-23-6228,B,Mandalay,Normal,Female,Sports and travel,21.77,6,6.531,137.151,03/07/2019,13:29,Ewallet,130.62,6.531,5.6
528-41-3616,A,Yangon,Member,Male,Health and beauty,36.12,7,12.642,265.482,03/20/2019,15:59,Credit card,252.84,12.642,8.3
123-21-7442,A,Yangon,Member,Female,Food and beverages,52.01,5,13.0025,273.0525,03/05/2019,18:29,Ewallet,260.05,13.0025,5.3
649-11-2761,B,Mandalay,Member,Male,Home and lifestyle,54.54,8,21.816,458.136,02/06/2019,16:08,Cash,436.32,21.816,8.4
471-80-5728,B,Mandalay,Normal,Male,Sports and travel,14.6,9,6.57,137.97,01/25/2019,11:24,Credit card,131.4,6.57,6.7
913-53-6990,C,Naypyitaw,Normal,Male,Electronic accessories,97.76,7,34.216,718.536,02/17/2019,12:12,Credit card,684.32,34.216,7.1
631-68-3440,C,Naypyitaw,Member,Male,Health and beauty,22.33,6,6.699,140.679,03/02/2019,19:57,Credit card,133.98,6.699,4.8
444-74-9351,C,Naypyitaw,Normal,Male,Sports and travel,99.16,5,24.79,520.59,03/17/2019,18:31,Credit card,495.8,24.79,7.4
415-98-1436,B,Mandalay,Member,Female,Home and lifestyle,70.64,7,24.724,519.204,03/16/2019,19:30,Cash,494.48,24.724,9.8
838-89-7229,C,Naypyitaw,Member,Male,Food and beverages,53.24,9,23.958,503.118,03/22/2019,12:52,Credit card,479.16,23.958,5.5
522-98-4340,C,Naypyitaw,Member,Male,Health and beauty,49.69,7,17.3915,365.2215,01/20/2019,16:32,Credit card,347.83,17.3915,9.5
589-77-7173,C,Naypyitaw,Member,Male,Food and beverages,28.66,6,8.598,180.558,03/26/2019,15:11,Cash,171.96,8.598,9.5
671-48-4684,B,Mandalay,Normal,Female,Food and beverages,53.58,4,10.716,225.036,02/05/2019,14:49,Cash,214.32,10.716,8.2
224-83-9899,C,Naypyitaw,Normal,Female,Sports and travel,41.39,5,10.3475,217.2975,02/06/2019,16:57,Cash,206.95,10.3475,8.9
552-93-5201,A,Yangon,Normal,Male,Home and lifestyle,95.98,2,9.598,201.558,02/14/2019,17:13,Ewallet,191.96,9.598,9.0
348-16-9700,B,Mandalay,Normal,Male,Health and beauty,65.41,10,32.705,686.805,01/31/2019,13:40,Ewallet,654.1,32.705,4.3
663-30-7666,B,Mandalay,Normal,Female,Health and beauty,71.31,3,10.6965,224.6265,01/01/2019,20:59,Cash,213.93,10.6965,6.9
687-39-9767,A,Yangon,Normal,Female,Home and lifestyle,68.13,2,6.813,143.073,03/25/2019,10:58,Ewallet,136.26,6.813,6.5
109-48-2758,A,Yangon,Member,Female,Sports and travel,26.77,5,6.6925,140.5425,01/05/2019,15:18,Cash,133.85,6.6925,9.9
438-30-8518,C,Naypyitaw,Normal,Male,Food and beverages,52.12,4,10.424,218.904,01/15/2019,20:16,Credit card,208.48,10.424,5.1
725-91-7643,C,Naypyitaw,Normal,Female,Food and beverages,70.7,4,14.14,296.94,01/23/2019,16:32,Cash,282.8,14.14,4.5
367-59-4858,C,Naypyitaw,Member,Male,Electronic accessories,52.97,4,10.594,222.474,01/01/2019,17:48,Cash,211.88,10.594,9.7
783-25-8625,B,Mandalay,Member,Female,Fashion accessories,42.36,4,8.472,177.912,01/08/2019,14:10,Cash,169.44,8.472,8.1
729-38-4590,C,Naypyitaw,Normal,Male,Fashion accessories,92.45,5,23.1125,485.3625,02/17/2019,12:30,Ewallet,462.25,23.1125,6.7
921-95-4578,C,Naypyitaw,Normal,Female,Fashion accessories,59.43,8,23.772,499.212,03/10/2019,13:43,Credit card,475.44,23.772,9.2
948-80-9281,A,Yangon,Normal,Female,Health and beauty,92.55,2,9.255,194.355,01/08/2019,13:36,Credit card,185.1,9.255,4.9
193-75-8298,B,Mandalay,Normal,Male,Fashion accessories,28.49,10,14.245,299.145,03/04/2019,10:29,Ewallet,284.9,14.245,7.1
360-10-4570,B,Mandalay,Member,Female,Fashion accessories,82.62,1,4.131,86.751,02/20/2019,19:04,Ewallet,82.62,4.131,6.5
393-62-3948,C,Naypyitaw,Member,Male,Health and beauty,98.75,8,39.5,829.5,01/05/2019,12:49,Credit card,790.0,39.5,9.9
182-97-9835,C,Naypyitaw,Normal,Female,Sports and travel,50.37,7,17.6295,370.2195,02/18/2019,12:41,Cash,352.59,17.6295,4.7
405-69-9920,C,Naypyitaw,Normal,Male,Fashion accessories,98.09,1,4.9045,102.9945,01/03/2019,16:34,Cash,98.09,4.9045,8.9
928-94-7868,A,Yangon,Normal,Female,Electronic accessories,34.81,2,3.481,73.101,01/05/2019,19:49,Ewallet,69.62,3.481,5.4
858-15-7590,A,Yangon,Member,Male,Sports and travel,63.8,1,3.19,66.99,02/01/2019,17:14,Credit card,63.8,3.19,5.3
691-86-6253,A,Yangon,Member,Female,Electronic accessories,83.42,10,41.71,875.91,02/10/2019,13:19,Ewallet,834.2,41.71,9.9
852-32-7999,C,Naypyitaw,Member,Female,Home and lifestyle,34.76,9,15.642,328.482,03/17/2019,18:31,Ewallet,312.84,15.642,9.8
485-33-9813,C,Naypyitaw,Normal,Female,Fashion accessories,47.47,3,7.1205,149.5305,02/08/2019,17:15,Ewallet,142.41,7.1205,5.8
642-27-7363,C,Naypyitaw,Member,Female,Health and beauty,60.61,7,21.2135,445.4835,03/13/2019,13:16,Ewallet,424.27,21.2135,6.0
374-58-1647,A,Yangon,Normal,Female,Health and beauty,58.21,4,11.642,244.482,01/07/2019,11:12,Credit card,232.84,11.642,8.3
115-37-4113,C,Naypyitaw,Member,Female,Electronic accessories,88.25,6,26.475,555.975,02/08/2019,11:47,Cash,529.5,26.475,9.5
577-78-6886,C,Naypyitaw,Member,Female,Electronic accessories,59.69,5,14.9225,313.3725,02/18/2019,14:16,Cash,298.45,14.9225,7.1
479-50-7781,B,Mandalay,Normal,Male,Fashion accessories,52.25,6,15.675,329.175,01/27/2019,10:36,Ewallet,313.5,15.675,8.4
488-82-5026,A,Yangon,Normal,Female,Home and lifestyle,23.72,6,7.116,149.436,01/30/2019,17:35,Credit card,142.32,7.116,9.7
